invoice_id,invoice_amount,payment_blocked,escalation_required,escalation_decision_reason,normalized_priority_score,raw_priority_score,sla_hours,auto_resolved,auto_close_flag,communication_required,communication_draft,root_cause_categories,resolution_owners,exceptions_summary,skipped_exceptions_trace,decision_trace
TST-008,800.0,True,True,,66.67,140.0,24,False,False,False,Drafted communication for TST-008 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 66.67 from 1 evaluated exceptions (Raw: 140.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 470 days).
TST-009,800.0,True,True,,66.67,140.0,24,False,False,False,Drafted communication for TST-009 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 66.67 from 1 evaluated exceptions (Raw: 140.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 470 days).
TST-016,0.0,True,True,,66.67,140.0,24,False,False,False,Drafted communication for TST-016 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 66.67 from 1 evaluated exceptions (Raw: 140.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 439 days).
TST-017,0.0,True,True,,66.67,140.0,24,False,False,False,Drafted communication for TST-017 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 66.67 from 1 evaluated exceptions (Raw: 140.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 439 days).
TST-019,7000.0,True,True,,64.29,135.0,48,False,False,False,Drafted communication for TST-019 regarding escalations.,Vendor Submission | Accounts Payable | Receiving | Data Error,AP Manager | Receiving Team | AP Team,Missing Required Data (1.00); Amount Exceeds Tolerance (1.00); GRN Not Received (1.00); Future Date (1.00),[],Skipped Vendor Mismatch evaluation because required field 'vendor_name' is missing. | Evaluated Missing Required Data with confidence 1.00. | Evaluated Amount Exceeds Tolerance with confidence 1.00. | Evaluated GRN Not Received with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 64.29 from 4 evaluated exceptions (Raw: 135.0). | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Payment blocked by GRN Not Received. | Escalation required by GRN Not Received. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 30 points (invoice age = 470 days).
TST-005,0.0,True,True,,57.14,120.0,48,False,False,False,Drafted communication for TST-005 regarding escalations.,Vendor Submission | Vendor Master Data | Receiving | Data Error,AP Manager | Vendor Master Team | Receiving Team | AP Team,Missing Required Data (1.00); Missing Required Data (1.00); Vendor Mismatch (1.00); GRN Not Received (1.00); Future Date (1.00),[],Skipped Potential Duplicate Invoice evaluation because required field 'invoice_amount' is missing. | Evaluated Missing Required Data with confidence 1.00. | Evaluated Missing Required Data with confidence 1.00. | Evaluated Vendor Mismatch with confidence 1.00. | Evaluated GRN Not Received with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 57.14 from 5 evaluated exceptions (Raw: 120.0). | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by Vendor Mismatch. | Escalation required by Vendor Mismatch. | Payment blocked by GRN Not Received. | Escalation required by GRN Not Received. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 30 points (invoice age = 484 days).
TST-011,2500.0,True,True,,57.14,120.0,48,False,False,False,Drafted communication for TST-011 regarding escalations.,Finance Controls | Accounts Payable | Receiving | Data Error,Finance Controls | AP Manager | Receiving Team | AP Team,Currency Mismatch (1.00); Amount Exceeds Tolerance (1.00); GRN Not Received (1.00); Future Date (1.00),[],Evaluated Currency Mismatch with confidence 1.00. | Evaluated Amount Exceeds Tolerance with confidence 1.00. | Evaluated GRN Not Received with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 57.14 from 4 evaluated exceptions (Raw: 120.0). | Payment blocked by Currency Mismatch. | Escalation required by Currency Mismatch. | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Payment blocked by GRN Not Received. | Escalation required by GRN Not Received. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 30 points (invoice age = 461 days).
TST-012,2500.0,True,True,,57.14,120.0,48,False,False,False,Drafted communication for TST-012 regarding escalations.,Vendor Submission | Accounts Payable | Receiving | Data Error,AP Manager | Receiving Team | AP Team,Missing Required Data (1.00); Missing Required Data (1.00); Amount Exceeds Tolerance (1.00); GRN Not Received (1.00); Future Date (1.00),[],Skipped Currency Mismatch evaluation because required field 'currency' is missing. | Evaluated Missing Required Data with confidence 1.00. | Evaluated Missing Required Data with confidence 1.00. | Evaluated Amount Exceeds Tolerance with confidence 1.00. | Evaluated GRN Not Received with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 57.14 from 5 evaluated exceptions (Raw: 120.0). | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Payment blocked by GRN Not Received. | Escalation required by GRN Not Received. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 30 points (invoice age = 461 days).
TST-018,1200.0,True,True,,57.14,120.0,48,False,False,False,Drafted communication for TST-018 regarding escalations.,Vendor Master Data | Accounts Payable | Receiving | Data Error,Vendor Master Team | AP Manager | Receiving Team | AP Team,Vendor Mismatch (1.00); Amount Exceeds Tolerance (1.00); GRN Not Received (1.00); Future Date (1.00),[],Evaluated Vendor Mismatch with confidence 1.00. | Evaluated Amount Exceeds Tolerance with confidence 1.00. | Evaluated GRN Not Received with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 57.14 from 4 evaluated exceptions (Raw: 120.0). | Payment blocked by Vendor Mismatch. | Escalation required by Vendor Mismatch. | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Payment blocked by GRN Not Received. | Escalation required by GRN Not Received. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 30 points (invoice age = 470 days).
TST-015,100.0,True,True,,45.24,95.0,48,False,False,False,Drafted communication for TST-015 regarding escalations.,Accounts Payable | Vendor Master Data | Receiving | Data Error,AP Team | Vendor Master Team | AP Manager | Receiving Team,Potential Duplicate Invoice (1.00); Vendor Mismatch (1.00); Amount Exceeds Tolerance (1.00); GRN Not Received (1.00); Future Date (1.00),[],Evaluated Potential Duplicate Invoice with confidence 1.00. | Evaluated Vendor Mismatch with confidence 1.00. | Evaluated Amount Exceeds Tolerance with confidence 1.00. | Evaluated GRN Not Received with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 45.24 from 5 evaluated exceptions (Raw: 95.0). | Payment blocked by Potential Duplicate Invoice. | Escalation required by Potential Duplicate Invoice. | Payment blocked by Vendor Mismatch. | Escalation required by Vendor Mismatch. | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Payment blocked by GRN Not Received. | Escalation required by GRN Not Received. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 5 points (invoice age = 0 days).
